Headline,Body ID,Stance
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,0
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,1
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,0
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,0
Spider burrowed through tourist's stomach and up into his chest,1923,2
Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,1
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,0
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,0
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,1
British Aid Worker Confirmed Murdered By ISIS,882,0
Gateway Pundit,2327,3
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,1
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,0
"No, that high school kid didn't make $72 million trading stocks",2132,0
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,3
Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,0
Boko Haram Denies Nigeria Cease-Fire Claim,2463,3
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,1
N. Korea’s Kim has leg injury but in control,570,0
ISIL Beheads American Photojournalist in Iraq,608,3
Tropical spider burrows under man's skin through scar,1500,0
Boko Haram ceasefire ignored as violence flares in Borno state,1681,3
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,0
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,0
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,1
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,1
"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,0
Christian Bale Exits Steve Jobs Movie (Exclusive),1658,0
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,0
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,3
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,0
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,3
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,0
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,0
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,0
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,3
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,1
Would-be rapist has penis severed by angry mob,1040,0
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials,1251,0
Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,0
"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,0
Nasa questions whether crater in Nicaragua caused by meteorite,534,0
Seth Rogen Is Woz,213,0
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,0
Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,0
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,0
Student accidentally sets college on fire during fireworks proposal,1592,1
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",2248,0
Rumors of ISIS leader's death debunked,1255,0
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,0
Boko Haram ceasefire ignored as violence flares in Borno state,2045,0
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,0
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,0
Pope Francis turns out not to have made pets in heaven comment,1905,2
British rapper a suspect in ISIS beheading,2295,0
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,1
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,0
Bali Awry,181,0
Islamic State Leader al-Baghdadi “Not Dead”,2036,0
Eggnog-chugging contest leads to hospital stay,941,0
"No, it's not Tiger Woods selling an island in Lake Mälaren",965,2
"Why the Gold Apple Watch Edition Must Cost $10,000",816,0
Would-be rapist has penis severed by angry mob,2106,0
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,0
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,0
Amazon's first brick-and-mortar store said to open in Manhattan,1934,0
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,0
"Islamic State leader's family detained by Lebanon, officials say",703,3
US confirms death of Somalia terror group leader,167,0
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,0
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,0
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,0
Indian civil servant sacked 'after 24-year sickie',2441,1
Batmobile wasn't stolen: Cops,1338,0
Michael Brown shooting audio caught on tape?,2248,0
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,0
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,0
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,3
Saudi fatwa banning snowmen triggers heated debate,26,0
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,0
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,1
Everyone chill! Banksy has NOT been arrested,1898,0
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,0
New Audio Shows Michael Brown Was Shot at 11 Times,1435,0
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,0
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,0
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,3
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,1
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1362,3
Jihadi John identity revealed as Mohammed Emwazi: live,2033,0
IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,0
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,0
Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,3
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,0
Zack Snyder Responds to Fake Stolen Batmobile Report,702,0
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,0
Priest who died for 48 minutes says he met God and she’s a woman,1720,0
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,0
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1832,0
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,0
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,0
"Video showing American journalist beheaded believed real, officials and family say",2404,0
Canadian Soldier Shot At Ottawa War Memorial: Report,1744,0
Audio recording allegedly captures moment Michael Brown was shot,1832,0
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,0
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,1
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,1
"NYPD to issue tickets instead of arrest for weed possession, report says",775,0
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,1
Michael Phelps’ alleged girlfriend says she was born intersex,1849,0
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,0
How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,0
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,0
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,0
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,0
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,0
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,0
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1212,0
Islamic State flying three jets in Syria: monitor,777,0
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,3
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,0
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,3
Former U.S. soldier says IS used chemical weapons in Kobani,1758,0
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,0
Eyewitness Says Viral Video of Homeless Man Was Staged,1681,0
New Audio Shows Michael Brown Was Shot at 11 Times,900,0
Meteorite strike in Nicaragua puzzles experts,40,0
Hunt for 'cruel' owner who abandoned dog at train station,36,0
Met police denies reports of Banksy arrest,949,1
Video: Marine saved by helmet after Taliban sniper attack,488,1
Militant Group Says It Killed American Journalist in Syria,2495,3
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",821,0
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1628,0
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,0
Islamic State claims to have beheaded American journalist,1385,0
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,0
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,0
Meteorite 'caused mysterious boom in Nicaragua',345,0
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",2087,0
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,3
ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,0
Nasa questions whether crater in Nicaragua caused by meteorite,1661,3
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,0
Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,0
Saudi Arabian cleric issues fatwa against snowmen,35,0
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,3
Michael Phelps’ alleged girlfriend says she was born intersex,618,0
Report: Possible audio tape of Michael Brown shooting,321,0
Amazon plans ad-supported video streaming service - NY post,887,0
CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,3
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,3
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,3
"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",119,0
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,0
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,3
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,0
What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,0
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,3
Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,0
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2342,0
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,0
Amazon.com to open first physical store in Manhattan: DJ,2477,0
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,0
Vogue’s Rat Infestation: Disturbing New Details,2064,1
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,0
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,0
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,313,2
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,472,0
Video: Marine survives Taliban sniper headshot thanks to helmet,2046,1
New iOS 8 bug can delete all of your iCloud documents,139,0
"Wildest Apple Watch rumor yet: 100,000 apps at launch",986,0
Sergeant-at-Arms stopped shooter on Parliament Hill,1568,0
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),975,2
Cheese addiction breaks Kim Jong-un's ankles,2210,0
PopWatch Teenager fights for the right to be recognized as Teletubbies' smiling sun-baby,2081,0
ISIS cracks down on five confirmed Ebola cases among fighters: official,1438,0
Media outlets identify 'Jihadi John',2531,0
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,808,0
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,125,0
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,1
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,3
Christian Bale Won't Play Steve Jobs After All,687,0
"Suspected meteorite leaves crater in Managua, is linked to asteroid",1627,0
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2290,0
Canadian Soldier Shot At Ottawa War Memorial: Report,2307,0
They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,0
Mexico prosecutor: Students not in 1st mass graves,1948,0
Audio recording allegedly captures moment Michael Brown was shot,1720,0
"In Moscow, police are looking for a felon, cut the male genitals",271,0
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,0
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',254,0
WHO investigates media reports ISIS fighters contracted Ebola,1574,0
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2133,0
Michelle Obama’s face blurred by Saudi state television,1242,0
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,3
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1982,0
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1107,0
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),775,0
Pentagon: ISIS seized materials airdropped to Kurds,1627,0
New policy could reduce marijuana possession arrests,296,0
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1786,0
ESPN's Domestic Violence Panel Is Missing Something Important,1020,0
Boko Haram denies it has agreed ceasefire,381,0
Islamic State claims to have beheaded American journalist,2047,3
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials,2302,0
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',844,0
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,3
Kurds Deny Gill Rosenberg was in Kobane,1949,0
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,0
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,1
"Cook said to confirm Apple Watch is showerproof, lasts a day",1985,0
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,3
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1718,0
Tropical spider burrowed under Bali tourist's skin,2293,3
Alleged audio of Michael Brown shooting has surfaced,1104,0
High school student scores $72M playing the stock market,1987,3
Mexico Says Missing Students Not Found In First Mass Graves,1419,0
Boko Haram denies ceasefire claim by Nigeria's government,1603,0
British hostage David Haines beheaded by Islamic State terrorists,2206,1
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1301,0
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",467,0
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2045,0
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2269,0
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,1
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1081,3
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1355,0
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,678,0
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,971,0
Does Vogue's New Office Have a Rat Infestation?,639,0
Meteorite leaves crater in Nicaraguan capital Managua,1795,0
James Foley remembered as 'brave and tireless' journalist,874,0
Homeless man receives $100... then shocks everyone with how he spends it,2492,0
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,3
Islamic State using 'SCORPION bombs' to terrorise victims,1720,0
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,2327,0
First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,0
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",2130,3
ISIS Getting Ebola,720,0
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,3
Apple Watch may be powered by Samsung processor,1658,0
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1786,0
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1081,3
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,0
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,1
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,0
Video messaging service verifies timing of CNN audio recording,1299,0
"American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1093,3
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1603,0
"Despite ceasefire announcement, new Boko Haram attacks reported",1541,0
Apple in talks to become launch partner for cable-free HBO Now service,2306,0
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,0
Passenger Wears A Hazmat Suit To Dulles Airport,2489,0
Eggnog-chugging contest leads to hospital stay,2509,0
Woman Spends Entire Week In KFC After Getting Dumped By Her Boyfriend,1805,0
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,972,0
Obama: murder of James Foley 'shocks the conscience of the entire world',2127,0
Has Ebola infected Isis militants in Mosul?,1778,3
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1586,0
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,1
Christian Bale won't play Steve Jobs,2455,3
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",125,0
Video Purports To Show Beheading Of U.S. Journalist By Militants,2453,0
6 Islamist militants killed in US attack in Somalia,511,0
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1726,0
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2177,0
"Islamic State Training Pilots in Military Jets, Monitors Say",1115,3
Could Kim Jong Un open a restaurant in Scotland?,773,0
Cheeky vandals paint giant penis on bonnet of £1.5 million Bugatti Veyron sportscar,2252,0
Nasa questions whether crater in Nicaragua caused by meteorite,524,0
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,3
Soldier shot in Ottawa at War Memorial,1988,0
Macaulay Culkin dead: Actor is victim of another death hoax,2022,0
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,3
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,1338,0
Video shows ISIL beheading of photojournalist James Foley,694,3
Isis claims it has US airdrop of weapons,1648,0
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,0
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2156,0
Comcast blocks Tor,1403,2
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1034,0
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",139,0
Staff Reporter,707,3
Lebanon detains wife and son of Al-Baghdadi,2337,2
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2025,3
"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1854,3
New iOS 8 bug can delete all of your iCloud documents,2054,3
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",186,0
The Apple Watch Will Debut by Late March [Report],670,0
Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,0
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2175,0
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2033,0
Boko Haram denies it has agreed ceasefire,2403,3
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,0
Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,3
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,2097,0
"ISIS Unleash ""Scorpion"" Bombs In Iraq",185,0
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1321,2
Michael Phelps’ alleged girlfriend says she was born intersex,645,0
ISIL Beheads American Photojournalist in Iraq,139,0
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",465,0
"Despite no Ebola case in Kansas City, the rumor goes viral",1943,1
Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,1155,0
Soldier shot in Ottawa at War Memorial,2269,0
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",731,0
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,698,0
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",513,0
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1883,0
This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1734,0
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,3
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,3
"North Korean leader Kim Jong Un had ankle surgery, report says",1349,0
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,859,0
"No, Banksy has not been arrested (sigh)",1020,0
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,3
CNN Airs Alleged Audio from Michael Brown Shooting,1605,3
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1011,0
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,0
"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",568,0
